key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,bit&01,byte,int32,uint16,uint32,uint32,uint16,uint16,str,int32,int32,int32,int32,int32,int16,int16,int16,int16,int16,bit&02,bit&04,sbyte
0,False,0,0,0,0,0,0,0,"",0,0,0,0,0,255,255,255,255,255,False,False,-1
1,False,1,0,999,81000,0,256,256,"円形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
2,False,1,0,999,81000,0,256,256,"円形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
3,False,1,0,999,81000,0,256,256,"円形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
4,True,1,0,1,240001,0,256,256,"圆形格子底",1,2,3,0,0,255,255,255,255,255,False,False,-1
5,False,1,0,999,81000,0,256,256,"四角形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
6,False,1,0,999,81000,0,256,256,"四角形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
7,False,1,0,999,81000,0,256,256,"四角形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
8,True,1,0,2,240002,0,256,256,"正方形格子底",1,2,3,0,0,255,255,255,255,255,False,False,-1
9,True,6,0,101,240212,0,512,512,"圆形范围攻击",12,2,3,0,0,255,255,255,255,255,False,False,-1
10,True,6,0,102,240212,0,512,512,"扇形范围攻击",12,2,3,6,0,255,255,255,255,255,True,True,-1
11,True,6,0,103,240303,0,128,128,"直线范围攻击",4,5,2,3,0,255,255,255,255,255,False,False,10
12,True,4,0,999,240305,0,256,6,"线",2,3,11,0,0,255,255,6,255,255,False,False,10
13,True,6,0,105,240201,0,128,128,"视线攻击",1,2,3,0,0,255,255,255,255,255,False,False,-1
14,True,6,0,106,240202,0,128,128,"分摊伤害攻击",1,2,3,0,0,255,255,255,255,255,False,False,-1
15,True,6,0,107,240204,0,128,128,"分摊伤害攻击：直线型",1,2,3,8,0,255,255,255,255,255,False,True,-1
16,True,6,0,108,240205,0,256,256,"距离衰减攻击",1,2,3,0,0,255,255,255,255,255,False,False,-1
17,True,6,0,109,240218,0,512,512,"环形范围攻击",12,2,3,6,7,255,255,30,360,255,True,True,-1
18,True,2,1,200,230904,0,32,32,"剑术师",1,2,3,0,0,255,255,255,255,255,False,False,-1
19,True,2,2,203,230905,0,32,32,"格斗家",1,2,3,0,0,255,255,255,255,255,False,False,-1
20,True,2,3,201,230906,0,32,32,"斧术师",1,2,3,0,0,255,255,255,255,255,False,False,-1
21,True,2,4,204,230907,0,32,32,"枪术师",1,2,3,0,0,255,255,255,255,255,False,False,-1
22,True,2,5,206,230908,0,32,32,"弓箭手",1,2,3,0,0,255,255,255,255,255,False,False,-1
