key,0,1,2,3,4,5,6
#,Icon,Category,MainCommandCategory,SortID,,Name,Description
int32,Image,byte,MainCommandCategory,sbyte,byte,str,str
0,0,0,0,0,0,"",""
1,16,1,1,-5,1,"切换行动状态","在拔出武器与收回武器的状态间切换。"
2,1,6,1,0,6,"角色","查看角色的各项状态参数，也可以进行变更装备、修改称号等操作。"
3,4,2,1,-4,2,"技能菜单","查看角色已经学会的各种技能，可以将技能设置到热键上、选择职能技能等多项操作。"
4,5,4,2,0,22,"日志","查看当前已经接受和已经完成的任务及理符任务，切换任务情报中显示的任务，开始或放弃理符任务等。"
5,47,13,2,9,31,"任务情报","查看关于任务的各种带有计时的情报。理符受理限额的更新时间、友好部族日常的剩余受理限额等。"
6,6,18,1,12,18,"成就","查看成就的达成条件、当前进度及达成报酬等情报。"
7,23,4,3,1,35,"采集笔记","查看采集作业所能够获得的道具，也可以查看目标道具可以在哪片地区采集到。"
8,21,1,3,-2,32,"讨伐笔记","查看战斗职业的讨伐目标及其数量和生息地，以及成功讨伐后能够获得的经验等奖励。"
9,22,3,3,0,34,"制作笔记","查看制作职业的各种配方，也可以直接开始制作作业。"
10,2,8,1,2,8,"物品","查看当前背包中的物品和水晶，也可以进行装备、使用、排列顺序等操作。"
11,3,3,2,-1,21,"任务道具","查看当前背包中的任务道具，在放弃任务时会丢弃相关的任务道具。"
12,17,1,5,0,46,"小队队员","查看小队中的队员，也可以进行更改排序、离开小队、解散小队等操作。"
13,18,10,6,7,62,"好友名单","查看自己的好友，可以直接发送悄悄话。也可以向好友发送组队邀请。"
14,19,12,6,9,64,"黑名单","查看被列入黑名单的人，这些人的发言不会被看到，交易和组队等各种邀请也会被自动屏蔽。"
15,20,1,6,-2,53,"玩家搜索","通过各种指定条件搜索其他玩家。"
16,7,4,4,0,43,"地图","查看自己和小队队员的位置，以及以太之光和商店的所在地、任务目的地等情报，地图可以进行缩放，也可以查看其他地区的地图。"
17,9,3,6,0,55,"情感动作","查看玩家表达情感的各种动作，在与他人的交流中能够起到很大作用。"
18,10,3,5,2,48,"目标标记","在目标的头顶设置小队与团队可见的图标记号。"
19,29,6,7,1,72,"系统设置","对声音、图像等系统项目进行调整。"
20,28,9,7,4,75,"键位设置","为各种操作和快捷功能配置自己惯用的键位。"
21,30,8,7,3,74,"用户宏","通过各种文本指令组合能够创建用户宏命令。既可以创建角色专用的宏命令，也可以创建各角色公用的宏命令。创建完成的宏命令可以设置到热键栏上。在文本指令一览中可以进行查看。"
22,31,7,7,2,73,"界面设置","修改游戏界面中各个窗口的位置和大小，设定是否显示窗口，还可以切换成已保存的界面。"
23,27,10,7,6,77,"返回标题画面","退出当前角色，回到游戏的标题画面。"
24,26,11,7,7,78,"退出游戏","退出并关闭游戏客户端。"
25,32,7,1,1,7,"兵装库","收纳获得的装备。每个部位的装备都会单独收纳，可以查看及装备到身上。"
26,0,0,0,0,0,"",""
27,8,4,6,1,56,"部队","查看所属部队的各种情报。"
28,11,7,6,4,59,"通讯贝","查看所属的所有通讯贝的成员情报。"
29,24,5,3,2,36,"钓鱼笔记","记录了捕鱼人的捕鱼成果及钓场，在各种地域钓鱼会追加记录内容。"
30,33,4,7,-1,70,"新手指南","查看已经出现过的新手指南。"
31,25,1,2,-3,19,"推荐任务","查看周围地区适合当前情况接受的任务及临危受命，还有适合当前等级的副本任务。"
32,13,1,7,-4,67,"隐私政策","查看关于个人信息的收集、使用、储存情况，以及相关的清单。"
33,46,5,2,1,23,"任务搜索器","可确认副本迷宫和行会令等组队任务的内容和参加条件以及申请参加任务。参加时可以自动组成小队参加或以任意编成进行挑战。"
34,48,5,7,0,71,"角色设置","对操作、界面、热键栏、消息栏等与角色相关的项目进行调整。"
35,0,0,4,1,44,"传送","消耗相应的金币，瞬间移动到已经共鸣过的水晶之光所在地，可以带领小队队员一起移动。"
36,0,0,4,2,45,"返回","瞬间移动到设置为返回点的水晶之光所在地，不需要任何消耗，不过使用一次之后需要等待15分钟才能使用下一次。如果在副本任务中使用，则会回到副本的开始地点。"
37,0,0,7,5,76,"许可证","查看«最终幻想14»的许可证。"
38,0,0,0,0,0,"笔记","（ヘルプ無し）"
39,0,0,0,0,0,"社交","（ヘルプ無し）"
40,0,0,0,0,0,"系统","（ヘルプ無し）"
41,50,6,3,3,37,"鱼类图鉴","捕鱼人的图鉴，记载了钓鱼相关的各种详细内容。钓上新种类的鱼后会追加记入各种内容。"
42,49,10,1,4,10,"搭档","查看搭档的状态、召唤剩余时间和能够使用的技能。搭档的技能点也是在这里分配。"
43,0,0,0,0,0,"任务辅助","（ヘルプ無し）"
44,52,5,6,2,57,"房屋","打开房屋菜单。"
45,35,0,0,0,0,"显示设置","打开显示设置窗口，可以对当前的显示效果、屏幕模式、画面分辨率等功能进行设置。"
